timestamp,temperature
2020-04-26 03:01:14.835960,58.0
2020-04-26 03:01:15.850682,59.1
2020-04-26 03:01:16.865501,59.1
2020-04-26 03:01:17.880535,59.1
2020-04-26 03:01:18.895219,58.5
2020-04-26 03:01:19.910221,59.1
2020-04-26 03:01:20.925095,58.5
2020-04-26 03:01:21.940272,58.5
2020-04-26 03:01:22.955042,59.1
2020-04-26 03:01:23.970269,59.1
2020-04-26 03:01:24.985021,58.5
2020-04-26 03:01:26.000215,59.1
2020-04-26 03:01:27.015128,59.1
2020-04-26 03:01:28.030089,59.1
2020-04-26 03:01:29.044919,59.1
2020-04-26 03:01:30.060050,59.1
2020-04-26 03:01:31.074973,59.1
2020-04-26 03:01:32.090042,59.1
2020-04-26 03:01:33.104811,58.5
2020-04-26 03:01:34.119986,58.5
2020-04-26 03:01:35.134606,58.5
2020-04-26 03:01:36.149417,59.1
2020-04-26 03:01:37.164243,59.1
2020-04-26 03:01:38.179196,59.1
2020-04-26 03:01:39.194047,58.5
2020-04-26 03:01:40.209433,59.1
2020-04-26 03:01:41.224763,59.1
2020-04-26 03:01:42.240344,59.1
2020-04-26 03:01:43.255655,58.5
2020-04-26 03:01:44.270991,59.1
2020-04-26 03:01:45.285889,59.1
2020-04-26 03:01:46.300398,59.1
2020-04-26 03:01:47.315127,59.1
2020-04-26 03:01:48.329971,59.1
2020-04-26 03:01:49.344650,59.1
2020-04-26 03:01:50.359855,59.1
2020-04-26 03:01:51.374692,59.1
2020-04-26 03:01:52.389526,58.5
2020-04-26 03:01:53.404279,58.0
2020-04-26 03:01:54.418823,58.5
2020-04-26 03:01:55.433746,58.5
2020-04-26 03:01:56.448300,59.1
2020-04-26 03:01:57.462993,59.1
2020-04-26 03:01:58.477674,59.1
2020-04-26 03:01:59.492323,59.1
2020-04-26 03:02:00.507010,58.5
2020-04-26 03:02:01.521809,59.1
2020-04-26 03:02:02.536443,58.0
2020-04-26 03:02:03.551190,59.6
2020-04-26 03:02:04.565731,59.1
2020-04-26 03:02:05.581922,58.5
2020-04-26 03:02:06.596847,59.1
2020-04-26 03:02:07.612669,59.1
2020-04-26 03:02:08.627542,59.1
2020-04-26 03:02:09.642622,58.0
2020-04-26 03:02:10.657168,59.1
2020-04-26 03:02:11.671843,59.1
2020-04-26 03:02:12.686435,58.5
2020-04-26 03:02:13.701084,58.5
2020-04-26 03:02:14.715609,59.1
2020-04-26 03:02:15.730337,58.0
2020-04-26 03:02:16.745073,59.1
2020-04-26 03:02:17.759966,59.1
2020-04-26 03:02:18.774546,59.1
2020-04-26 03:02:19.789244,59.1
2020-04-26 03:02:20.804321,59.1
2020-04-26 03:02:21.819041,59.1
2020-04-26 03:02:22.834346,59.1
2020-04-26 03:02:23.849265,58.5
2020-04-26 03:02:24.864223,59.1
2020-04-26 03:02:25.879031,58.5
2020-04-26 03:02:26.894299,59.1
2020-04-26 03:02:27.910522,59.1
2020-04-26 03:02:28.925556,59.1
2020-04-26 03:02:29.940401,59.1
2020-04-26 03:02:30.955335,58.5
2020-04-26 03:02:31.970281,59.1
2020-04-26 03:02:32.985428,58.5
2020-04-26 03:02:34.000534,59.1
2020-04-26 03:02:35.015764,59.1
2020-04-26 03:02:36.031107,58.5
2020-04-26 03:02:37.045877,58.5
2020-04-26 03:02:38.060585,58.5
2020-04-26 03:02:39.075767,59.1
2020-04-26 03:02:40.090691,58.5
2020-04-26 03:02:41.105816,59.1
2020-04-26 03:02:42.120800,58.0
